id	H vs not-H
C_326	0
C_447	0
C_524	0
C_536	0
CE_R_11_0249	0
28_23_1	0
28_28_1	0
30_14_1	0
31_4_1	0
33_14_1	0
37_18_3	0
37_6_3	0
39_7_2	0
40_4_1	0
C_1157	0
C_1184	0
C_1188	0
06_2869	0
CE2_R2_11_1000	0
CE2_R2_11_1024	0
CE2_R2_11_1025	0
Cry_319	0
CAMPY2528_2012_514	0
1230	0
1328	0
1345	0
1320	0
C_568	0
10_0760	0
10_0771	0
10_0774	0
10_0775	0
10_0778	0
10_0782	0
10_0785	0
C_1035	0
C_348	0
C_379	0
C_619	0
C_633	0
C_635	0
C_636	0
C_645	0
CI_0228	0
CI_0237	0
CE_R_09_0316	0
06_2861	0
06_2877	0
CA99CN070012	0
CA99CN070021	0
CA99CN070037	0
977	0
13_C574	0
C_1033	0
C_1080	0
C_1203	0
C_135	0
C_140	0
C_141	0
C_183	0
C_286	0
C574	0
C704	0
C745	0
CI_0225	0
CI_0226	0
CI_0227	0
CI_0230	0
CI_0233	0
CI_0234	0
CI_0235	0
CI_0236	0
CE_M_09_4097	0
CE_R_11_0108	0
CE_R_11_0144	0
C_041	0
36_5_3	0
CI_0229	0
39_17_3	0
CI_0232	0
10_0776	0
CI_0675	0
10_018969_6	0
10_018972_2	0
CE_R_10_0483	0
CI_0231	0
CHSK_I_153	0
AMR_2215	0
10_015551_3	0
CHSK_I_164	0
C_984	0
CI_4368	0
C_1049	0
AMR_9380	0
C_764	0
C_769	0
C_757	0
C_654	0
C_698	0
C_702	0
C_705	0
C_726	0
C_656	0
C_699	0
C_754	0
C_773	0
C_734	0
Ab_13600	0
AMR_10085	0
AMR_10120	0
AMR_1198	0
AMR_499	0
AMR_8986	0
CHSK_I_205	0
AMR_10127	0
AMR_7857	0
AMR_10138	0
AMR_4593	0
AMR_7873	0
C_1135	0
C_1200	0
C_1204	0
C_1206	0
C122	0
C_122	0
C535	0
C_661	0
C_882	0
C_894	0
CI_0986	0
CI_0987	0
CI_0988	0
CI_1144	0
CI_1147	0
CI_1148	0
CI_1673	0
CI_1674	0
CI_1963	0
CI_1964	0
CI_1965	0
CI_1968	0
CI_1969	0
CI_1970	0
CI_1971	0
CI_3761	0
CI_3763	0
CE_M_09_2010	0
CE_M_09_2014	0
CE_M_09_2063	0
CE_M_09_3021	0
CE_M_09_3098	0
CE_M_09_3107	0
CE_M_09_3113	0
CE_R_09_0281	0
