id	Project	Year	Date.num	Province	Region	Source	Sample type	CGF	eCGF	eCGF_100	eCGF95	MLST-ST	MLST-CC
18_8535	FNC	2018	43376	BC	West	Human	Stool	882.002	40	0882.002.002	882.002	538	ST-45 complex
12_107188_0021	MBS	2012	41255	BC	West	Chicken	Thigh	882.002	40	0882.002.002	882.002	538	ST-45 complex
18_5169	FNC	2018	43291	AB	West	Human	Stool	882.002	40	0882.002.002	882.002	538	ST-45 complex
13_089035_0022	MBS	2013	41585	QC	East	Chicken	Breast	882.002	40	0882.002.002	882.002	538	ST-45 complex
13_029874_0009	MBS	2013	41411	BC	West	Chicken	Breast	882.002	40	0882.002.002	882.002	538	ST-45 complex
CA10SH18588048301	CIPARS	2018	43381	BC	West	Chicken	Fecal	882.002	40	0882.002.002	882.002	538	ST-45 complex
13_014767_0024	MBS	2013	41326	AB	West	Chicken	Fecal	882.002	40	0882.002.002	882.002	538	ST-45 complex
CA10SH18588028201	CIPARS	2018	43251	AB	West	Chicken	Fecal	904.002	40	0904.002.002	904.002	-	-
CA10SH18599025401	CIPARS	2018	Undefined	BC	West	Turkey	Fecal	904.002	39	0904.002.002	904.002	-	-
CA10SH18588039401	CIPARS	2018	43299	AB	West	Chicken	Fecal	904.002	40	0904.002.002	904.002	-	-
CA10SH18599010101	CIPARS	2018	43194	BC	West	Turkey	Fecal	933.004	40	0933.004.002	933.004	-	-
CA10SH18599012501	CIPARS	2018	43221	BC	West	Turkey	Fecal	933.004	40	0933.004.002	933.004	-	-
CA10SH18599013801	CIPARS	2018	43229	AB	West	Turkey	Fecal	933.004	40	0933.004.002	933.004	-	-
13_001643_0016	MBS	2013	41281	AB	West	Chicken	Carcass	904.002	40	0904.002.002	904.002	137	ST-45 complex
13_002550_0014	MBS	2013	41283	AB	West	Chicken	Thigh	904.002	40	0904.002.002	904.002	137	ST-45 complex
07_7320	FNC	2007	39224	ON	Central	Chicken	Undefined	904.002	40	0904.002.002	904.002	137	ST-45 complex
07_7314	FNC	2007	39182	ON	Central	Chicken	Undefined	904.002	40	0904.002.002	904.002	137	ST-45 complex
00_6196	Walkerton	2000	Undefined	ON	Central	Human	Undefined	904.002	40	0904.002.002	904.002	-	-
08_5602	FNC	2008	39672	ON	Central	Human	Undefined	904.002	40	0904.002.002	904.002	137	ST-45 complex
